R,G,I,F
1,0,0,9680378.75023817
1,0,1,9757734.662213057
1,0,2,1.0015616254261337E7
1,0,3,9746447.810982384
1,0,4,9809079.721463032
1,0,5,9799223.492882058
1,0,6,9897169.702130033
1,0,7,9944085.724478493
1,0,8,9714656.07290337
1,0,9,9666184.106059898
1,0,10,9681603.932177806
1,0,11,9557467.582592206
1,0,12,9758832.196322437
1,0,13,1.0105078220874289E7
1,0,14,9794087.900548792
1,0,15,9913712.962387139
1,0,16,9633528.343083378
1,0,17,9761618.012268126
1,0,18,9857704.402982045
1,0,19,9729044.118943067
1,0,20,9762833.493247641
1,0,21,9751956.45261584
1,0,22,1.0032348344448656E7
1,0,23,9767861.168793969
1,0,24,9782366.591889123
1,0,25,9740845.302469593
1,0,26,9636329.844593663
1,0,27,9809954.535613589
1,0,28,9798475.74162946
1,0,29,9749243.545748575
1,0,30,9718899.865281655
1,0,31,9974320.402653042
1,0,32,9879188.315533549
1,0,33,9857895.306160994
1,0,34,9765346.861731421
1,0,35,9859595.781211931
1,0,36,9892611.350291302
1,0,37,9939005.879946638
1,0,38,9838535.49824623
1,0,39,9808575.319393385
1,0,40,9904352.031718003
1,0,41,9747151.927989388
1,0,42,9767847.564706067
1,0,43,9876761.93449745
1,0,44,9702020.046302428
1,0,45,9758237.59671928
1,0,46,9652062.515955718
1,0,47,9769727.193929143
1,0,48,9785591.83018943
1,0,49,9777769.260926453
1,0,50,9603528.07211742
1,0,51,9916660.17244155
1,0,52,9643382.204829361
1,0,53,9956533.378232788
1,0,54,9861997.768469898
1,0,55,9742219.170799362
1,0,56,9696492.93702307
1,0,57,9764447.138304206
1,0,58,9683911.22372146
1,0,59,9703454.846457977
1,0,60,9645524.456969965
1,0,61,9719048.902934005
1,0,62,9828080.258095548
1,0,63,9803562.229493892
1,0,64,9807979.22757427
1,0,65,9776863.74913781
1,0,66,9693335.187954647
1,0,67,9666628.183077455
1,0,68,9832431.743698042
1,0,69,9602893.773665655
1,0,70,9939655.175329063
1,0,71,9755438.491272414
1,0,72,9987416.492900694
1,0,73,9853994.839292055
1,0,74,9613381.223526597
1,0,75,9870046.594501482
1,0,76,9936090.620556379
1,0,77,9808302.703837574
1,0,78,9884642.954022072
1,0,79,9755704.497577835
1,0,80,9991502.150007965
1,0,81,9551807.785747288
1,0,82,9539532.172959434
1,0,83,9818691.373930393
1,0,84,9879174.809355065
1,0,85,9862407.159101514
1,0,86,9757314.639205677
1,0,87,9656580.80611919
1,0,88,9871271.474859292
1,0,89,9748501.077252626
1,0,90,9709230.781129122
1,0,91,9734688.143642688
1,0,92,9766923.454722088
1,0,93,9848520.838073531
1,0,94,9556441.724120528
1,0,95,9852669.379972983
1,0,96,9947875.74669909
1,0,97,9720335.116686387
1,0,98,9763438.14844788
1,0,99,9895187.28303399
1,1,0,9654743.353422744
1,1,1,9626301.791514602
1,1,2,9680378.75023817
1,1,3,9767847.564706067
1,1,4,9749243.545748575
1,1,5,9645524.456969965
1,1,6,9815216.223118339
1,1,7,9674136.227363748
1,1,8,9686967.557688521
1,1,9,9695006.686008414
1,1,10,9725745.568866253
1,1,11,9855849.629569214
1,1,12,9834574.702123811
1,1,13,9623292.111178052
1,1,14,9796733.775938442
1,1,15,9694445.770190213
1,1,16,9851779.328093445
1,1,17,9844948.333767539
1,1,18,9802470.38026043
1,1,19,9719598.319559539
1,1,20,9676049.468491107
1,1,21,9685255.371488292
1,1,22,9716234.04194303
1,1,23,9626971.521834783
1,1,24,9939655.175329063
1,1,25,9666628.183077455
1,1,26,9738216.321732497
1,1,27,9557692.271465432
1,1,28,9647254.790182391
1,1,29,9639658.610284632
1,1,30,9520583.793897059
1,1,31,9795381.961521465
1,1,32,9613381.223526597
1,1,33,9551807.785747288
1,1,34,9719048.902934005
1,1,35,9702020.046302428
1,1,36,9503548.358211767
1,1,37,9552504.737117903
1,1,38,9713953.590000294
1,1,39,9820412.656782655
1,1,40,9877816.347585032
1,1,41,9793272.769998055
1,1,42,9557467.582592206
1,1,43,9761618.012268126
1,1,44,9766965.092514984
1,1,45,9878897.095935067
1,1,46,9740845.302469593
1,1,47,9656580.80611919
1,1,48,9719048.902934005
1,1,49,9809954.535613589
1,1,50,9821557.475773886
1,1,51,9626308.55660622
1,1,52,9765346.861731421
1,1,53,9539532.172959434
1,1,54,9624613.240928544
1,1,55,9725579.029687764
1,1,56,9639998.046660371
1,1,57,9690542.346354645
1,1,58,9634515.90491531
1,1,59,9711509.594309634
1,1,60,9696492.93702307
1,1,61,9556441.724120528
1,1,62,9645524.456969965
1,1,63,9767847.564706067
1,1,64,9776863.74913781
1,1,65,9747151.927989388
1,1,66,9679975.198266506
1,1,67,9686119.559133511
1,1,68,9602893.773665655
1,1,69,9766923.454722088
1,1,70,9610133.631006133
1,1,71,9767243.008941643
1,1,72,9746447.810982384
1,1,73,9767861.168793969
1,1,74,9588934.84981991
1,1,75,9599158.625047842
1,1,76,9968507.010225171
1,1,77,9837736.321409788
1,1,78,9690803.181817016
