R,G,I,F
1,0,0,27618.08506328711
1,0,1,26172.599821716365
1,0,2,24617.60946779445
1,0,3,27609.767148461782
1,0,4,25899.59960362453
1,0,5,25989.629142433347
1,0,6,27954.625444150523
1,0,7,29208.396600011874
1,0,8,25425.61746702862
1,0,9,23400.026947169645
1,0,10,28097.01182598638
1,0,11,23905.335532926652
1,0,12,25921.127174151006
1,0,13,27781.409947981534
1,0,14,24961.98617321859
1,0,15,24579.715688277527
1,0,16,25389.488237833764
1,0,17,27087.921409677798
1,0,18,26965.084170659407
1,0,19,26160.503769932897
1,0,20,27974.369142485124
1,0,21,26896.521345168476
1,0,22,26206.728633000494
1,0,23,26786.981812804166
1,0,24,26856.957205129464
1,0,25,26918.933935082958
1,0,26,24248.96416448098
1,0,27,25352.233683134564
1,0,28,27781.909188214624
1,0,29,26519.43784475898
1,0,30,27788.019041700893
1,0,31,27377.644291039647
1,0,32,24816.42576372946
1,0,33,29065.599448520385
1,0,34,25838.172846732232
1,0,35,28852.605344382497
1,0,36,28050.6648718193
1,0,37,28600.03376814879
1,0,38,28381.832851958745
1,0,39,26511.49994384515
1,0,40,30467.840498997375
1,0,41,27156.552359059468
1,0,42,28110.719363103
1,0,43,26417.09428052615
1,0,44,29737.895398183155
1,0,45,26277.713795838623
1,0,46,29293.120841828506
1,0,47,25070.23219480605
1,0,48,26662.54030945407
1,0,49,27232.73199399137
1,0,50,28699.16494401302
1,0,51,29814.58395875239
1,0,52,27856.483440992866
1,0,53,24604.08675126864
1,0,54,27823.33085170014
1,0,55,27195.5226523065
1,0,56,27618.91775775266
1,0,57,25151.009712442272
1,0,58,29011.950859354314
1,0,59,25218.173612843995
1,0,60,26800.607580789645
1,0,61,26103.79785774931
1,0,62,29318.571459833838
1,0,63,27960.087471413193
1,0,64,21274.20161648401
1,0,65,27102.680361041403
1,0,66,26894.076779504707
1,0,67,24800.322424508253
1,0,68,25821.273617036786
1,0,69,29691.633875756546
1,0,70,27299.260653044534
1,0,71,27552.884127843652
1,0,72,23113.6319528102
1,0,73,26450.935880060795
1,0,74,25496.515489147845
1,0,75,25848.01184605356
1,0,76,28350.142017323673
1,0,77,26157.633445245243
1,0,78,24977.369202977774
1,0,79,28127.018189476617
1,0,80,29062.607279170494
1,0,81,29270.85014488968
1,0,82,26730.318288729413
1,0,83,23633.557148023203
1,0,84,28938.2364199538
1,0,85,26759.29843924139
1,0,86,23265.807375089942
1,0,87,26028.358030064075
1,0,88,28108.93088381542
1,0,89,26538.92606492404
1,0,90,27445.405854224384
1,0,91,28785.324496289595
1,0,92,29026.71859283888
1,0,93,27171.40728295844
1,0,94,23631.77786754346
1,0,95,27259.961531893798
1,0,96,28724.407455363482
1,0,97,27798.64451787137
1,0,98,24442.45808035207
1,0,99,23164.743226046285
1,1,0,25132.289461810542
1,1,1,27520.893403567192
1,1,2,28097.01182598638
1,1,3,28724.407455363482
1,1,4,26804.365770542216
1,1,5,26730.318288729413
1,1,6,27261.566005739674
1,1,7,26361.183497245136
1,1,8,26197.184106359306
1,1,9,26063.114186968116
1,1,10,28684.734305662216
1,1,11,26794.61845558765
1,1,12,26481.166388253667
1,1,13,29279.842166374976
1,1,14,28188.554565046754
1,1,15,27728.81639654733
1,1,16,27822.977247150524
1,1,17,30213.531810837987
1,1,18,27311.890583822365
1,1,19,27687.76954653401
1,1,20,29542.355347246885
1,1,21,26584.608702448626
1,1,22,24310.95091900021
1,1,23,28321.224183956878
1,1,24,25400.768077945213
1,1,25,26617.218528277106
1,1,26,26261.249157045106
1,1,27,26104.128820066057
1,1,28,28584.37677724543
1,1,29,26556.296370955148
1,1,30,25863.885103843353
1,1,31,25619.00634623737
1,1,32,25359.90372667365
1,1,33,26939.528408479317
1,1,34,29815.05983168724
1,1,35,26016.609365922683
1,1,36,26501.07935845348
1,1,37,28012.854631320082
1,1,38,25983.391151956548
1,1,39,23903.954074915422
1,1,40,25921.127174151006
1,1,41,28585.82085497155
1,1,42,29418.755748831285
1,1,43,29111.458624414554
1,1,44,29079.7877835644
1,1,45,27330.2965606725
1,1,46,29789.81395294838
1,1,47,27231.73780219179
1,1,48,29465.344756396407
1,1,49,27300.864617452837
1,1,50,28856.326714897117
1,1,51,25261.82156469783
1,1,52,30084.500895516034
1,1,53,23368.12470425605
1,1,54,27717.82242954608
1,1,55,27678.442504936556
1,1,56,25799.280689439067
1,1,57,28804.277659106967
1,1,58,28968.116264924465
1,1,59,27407.57596406684
1,1,60,26858.781707462407
1,1,61,26083.90500934909
1,1,62,27665.339502927913
1,1,63,26894.627553627386
1,1,64,28293.17429944706
1,1,65,28844.22556501114
1,1,66,27236.98615257013
1,1,67,29682.039631426265
1,1,68,25218.173612843995
1,1,69,29293.120841828506
1,1,70,27300.900081052405
1,1,71,26370.910641225444
1,1,72,27445.405854224384
1,1,73,29814.58395875239
1,1,74,25396.934950529812
1,1,75,29823.776717815454
1,1,76,26562.20684128862
1,1,77,25373.76814831927
1,1,78,24436.120282387703
1,1,79,28949.909167676684
1,1,80,29792.421605086438
1,1,81,24977.369202977774
1,1,82,26987.980382857357
1,1,83,26162.910905571393
1,1,84,27974.369142485124
1,1,85,27798.64451787137
1,1,86,27866.2594212299
1,1,87,26845.187302879738
1,1,88,26959.329972565665
1,1,89,28058.863007232787
1,1,90,26807.975885275227
1,1,91,28047.756306855623
1,1,92,29915.00573819498
1,1,93,29044.394212085375
1,1,94,29062.607279170494
1,1,95,26028.358030064075
1,1,96,28489.260726497858
1,1,97,30179.9577531006
1,1,98,30608.466755053683
1,1,99,27977.58182762264
1,2,0,28684.734305662216
1,2,1,26809.091324537156
1,2,2,29272.86587645834
1,2,3,28145.04848892467
1,2,4,28426.88339581152
1,2,5,28407.942025372206
1,2,6,28355.266948382516
1,2,7,29150.619844506302
1,2,8,30293.26109155372
1,2,9,28760.149768711257
1,2,10,28332.535487091263
1,2,11,26160.257493413024
1,2,12,28536.01594484593
1,2,13,27176.785471622
1,2,14,26875.698887971244
1,2,15,29838.650022749793
1,2,16,29111.458624414554
1,2,17,28489.260726497858
1,2,18,29293.120841828506
1,2,19,27779.079272472954
1,2,20,26404.838620704362
1,2,21,28637.5175826318
1,2,22,26340.679493312236
1,2,23,28054.336897931003
1,2,24,28507.916194825157
1,2,25,28199.459655710474
1,2,26,28365.89096445396
1,2,27,28183.07230539712
1,2,28,30213.531810837987
1,2,29,27717.82242954608
1,2,30,26796.227379784475
1,2,31,27496.07102553927
1,2,32,26160.859615117657
1,2,33,27523.39618955504
1,2,34,24777.888761317972
1,2,35,25368.453050596283
1,2,36,28874.00604248617
1,2,37,27261.121037874236
1,2,38,29351.264152118554
1,2,39,26804.365770542216
1,2,40,27766.17411324943
1,2,41,28586.510723515144
1,2,42,27580.95188720213
1,2,43,29187.876450421823
1,2,44,28806.550796794636
1,2,45,27407.57596406684
1,2,46,28968.116264924465
1,2,47,27866.2594212299
1,2,48,26063.668006533564
1,2,49,27208.26959895695
1,2,50,28597.305941733423
1,2,51,29151.180987739965
1,2,52,26950.516538340355
1,2,53,29094.8793200995
1,2,54,29179.82011409376
1,2,55,28402.115465568804
1,2,56,28788.798372892394
1,2,57,28711.608920655937
1,2,58,29134.694489824855
1,2,59,28669.918473161997
1,2,60,30320.610982171638
1,2,61,28323.149026185914
1,2,62,28401.129736028484
1,2,63,29021.217920195148
1,2,64,29004.629414894618
1,2,65,28398.974594916242
1,2,66,23903.954074915422
1,2,67,29789.81395294838
1,2,68,28127.074106104923
1,2,69,29704.377076600795
1,2,70,27519.672620526177
1,2,71,28581.456126358575
1,2,72,28584.37677724543
1,2,73,30084.500895516034
1,2,74,26577.373109416832
1,2,75,28373.712031940646
1,2,76,27206.301869634266
1,2,77,28129.58830375733
1,2,78,25427.010713676915
1,2,79,25985.10916130113
1,2,80,23368.12470425605
1,2,81,26774.333437292495
1,2,82,28468.39577561455
1,2,83,28572.840462317807
1,2,84,27800.046311251153
1,2,85,27452.452025925744
1,2,86,26592.850671834974
1,2,87,27646.64100234401
1,2,88,29768.885950346805
1,2,89,27580.522363024334
1,2,90,26042.368083386686
1,2,91,28148.901396647903
1,2,92,28081.271724204533
1,2,93,28438.078804266715
1,2,94,30670.93084362783
1,2,95,30797.51200049274
1,2,96,26827.25488820205
1,2,97,29123.46548633507
1,2,98,25746.459034249012
1,2,99,27937.615319091226
1,3,0,30294.62846470725
1,3,1,28450.156854673132
1,3,2,28803.423805566657
1,3,3,30390.64102333258
1,3,4,27944.450345202764
1,3,5,28345.361077163714
1,3,6,28541.661369036836
1,3,7,28995.378581838675
1,3,8,28696.79251871402
1,3,9,28438.208284835167
1,3,10,29383.301355419473
1,3,11,29401.713529875244
1,3,12,27271.16710505873
1,3,13,29673.38163118956
1,3,14,29019.204041116416
1,3,15,27669.234871678364
1,3,16,30570.54600774195
1,3,17,29075.565889611076
1,3,18,26324.868228291063
1,3,19,28241.063288801062
1,3,20,23298.45538596444
1,3,21,29272.86587645834
1,3,22,27109.183758510662
1,3,23,27575.30939762363
1,3,24,30293.26109155372
1,3,25,28398.974594916242
1,3,26,28693.615904284045
1,3,27,28183.95472957906
1,3,28,26577.373109416832
1,3,29,23368.12470425605
1,3,30,30255.769196910707
1,3,31,27497.23657861655
1,3,32,27494.843014425784
1,3,33,27088.113609949705
1,3,34,27828.181432384394
1,3,35,29555.717746671948
1,3,36,29589.179849097975
1,3,37,30173.063897718013
1,3,38,29272.86587645834
1,3,39,28536.01594484593
1,3,40,26417.96106350456
1,3,41,28117.559482790173
1,3,42,25737.973799173757
1,3,43,26474.87522884586
1,3,44,30320.610982171638
1,3,45,28856.743859257356
1,3,46,29066.154130488798
1,3,47,29591.208962365596
1,3,48,28973.74212103865
1,3,49,28654.908520133016
1,3,50,27064.141149915293
1,3,51,28354.881384418477
1,3,52,28194.82093041917
1,3,53,26874.590452876746
1,3,54,28376.127964060284
1,3,55,26975.66871272382
1,3,56,27464.6092358759
1,3,57,27529.53370786292
1,3,58,29946.679683412498
1,3,59,29151.180987739965
1,3,60,29351.264152118554
1,3,61,26774.333437292495
1,3,62,28874.00604248617
1,3,63,27766.17411324943
1,3,64,27884.265250640306
1,3,65,25206.00767198758
1,3,66,26975.74651748058
1,3,67,28156.38367346298
1,3,68,28213.801844689333
1,3,69,29273.496723728265
1,3,70,28355.266948382516
1,3,71,29187.876450421823
1,3,72,27958.040431922906
1,3,73,28109.485422153175
1,3,74,27977.834773814728
1,3,75,28435.534611713865
1,3,76,28710.089961051188
1,3,77,28925.03696543173
1,3,78,30797.51200049274
1,3,79,27176.785471622
1,3,80,28584.37677724543
1,3,81,28604.781895281703
1,3,82,28497.73375598279
1,3,83,25742.29584327687
1,3,84,29514.979393849793
1,3,85,28577.566706054917
1,3,86,27462.38123055316
1,3,87,26109.823532785555
1,3,88,27875.63417006116
1,3,89,28901.72812497379
1,3,90,27770.063549756724
1,3,91,28388.195895014047
1,3,92,29952.425519077424
1,3,93,27210.215867610696
1,3,94,25462.264137541217
1,3,95,27937.615319091226
1,3,96,29293.120841828506
1,3,97,28769.893648730256
1,3,98,27146.858379441263
1,3,99,27921.906276405265
1,4,0,28925.03696543173
1,4,1,29272.86587645834
1,4,2,28198.422882111965
1,4,3,27522.846311794678
1,4,4,29682.926323593038
1,4,5,27126.190145991553
1,4,6,27371.675773266707
1,4,7,27971.468779199455
1,4,8,27828.181432384394
1,4,9,28051.30680288415
1,4,10,29689.89654861571
1,4,11,27395.389665396902
1,4,12,29697.82293165707
1,4,13,27530.949976338678
1,4,14,28183.95472957906
1,4,15,28685.11877892339
1,4,16,29095.70698998648
1,4,17,29838.744651254663
1,4,18,27411.965993103768
1,4,19,30498.444973465237
1,4,20,28619.293682193405
1,4,21,29269.94109107286
1,4,22,30208.524269405334
1,4,23,27039.18591133219
1,4,24,28308.053782950654
1,4,25,29337.925268057
1,4,26,27294.72125177317
1,4,27,27810.954115981956
1,4,28,29164.963342306277
1,4,29,28727.260351116325
1,4,30,29620.314891404538
1,4,31,27565.326760182896
1,4,32,29942.73749450682
1,4,33,30305.112689488393
1,4,34,26941.87751645665
1,4,35,27457.44329972828
1,4,36,30052.65115033464
1,4,37,31025.13050024877
1,4,38,30351.10130111775
1,4,39,27614.164127143347
1,4,40,28855.781147486665
1,4,41,25903.48816272145
1,4,42,29940.01230312167
1,4,43,28867.262173836534
1,4,44,28497.73375598279
1,4,45,30294.62846470725
1,4,46,28293.941205056497
1,4,47,30040.912042636883
1,4,48,27169.00390105676
1,4,49,29098.324565899497
1,4,50,28197.54031601893
1,4,51,28047.43957805288
1,4,52,25654.31990116707
1,4,53,27268.277944081743
1,4,54,29143.4914252088
1,4,55,29294.425367650714
1,4,56,28497.20249392188
1,4,57,28283.534567188628
1,4,58,30720.283013905813
1,4,59,30083.66570808791
1,4,60,29272.99313931516
1,4,61,28965.0445941837
1,4,62,28054.029784666902
1,4,63,25933.567810548884
1,4,64,26975.66871272382
1,4,65,26975.74651748058
1,4,66,29271.519535815394
1,4,67,28656.701236943594
1,4,68,27791.424958872612
1,4,69,28945.643945362222
1,4,70,28530.283608677608
1,4,71,28511.220063683744
1,4,72,27579.54602626822
1,4,73,30320.610982171638
1,4,74,28409.169932232926
1,4,75,27978.528919763492
1,4,76,27516.89333821762
1,4,77,28643.79666599027
1,4,78,30694.54574608097
1,4,79,28212.497135038462
1,4,80,28918.91068465694
1,4,81,28737.05658448476
1,4,82,27401.157994818655
1,4,83,27326.56537901197
1,4,84,26738.15729756748
1,4,85,27489.211232680973
1,4,86,28912.582511774337
1,4,87,28780.425799570883
1,4,88,30657.885730157683
1,4,89,30332.946761764008
1,4,90,29198.243505071354
1,4,91,27851.44144853904
1,4,92,27604.4599116868
1,4,93,27643.447652816172
1,4,94,29520.930211820898
1,4,95,29915.8168423922
1,4,96,28951.682672467803
1,4,97,30405.567243270587
1,4,98,28612.99960497385
1,4,99,28815.996628227582
1,5,0,28737.248998474624
1,5,1,27401.959415681533
1,5,2,28308.053782950654
1,5,3,30305.112689488393
1,5,4,30847.88817351456
1,5,5,29944.546068368694
1,5,6,29775.0704436187
1,5,7,30694.54574608097
1,5,8,29390.858974297724
